Title,Date,Activity Type,Tag,Rank,Steps,Distance [km],Time [hh:mm'ss"],Pace [mm'ss"/km],Speed [km/h],Cadence [step/min],Stride [cm],Clories [kcal],Avg. HR [num/min],Max. HR [num/min]	,Min. HR [num/min],Weather,Temperature [℃],Notes,TrainingEffect,Ascent [m],Descent [m]
"workout 165",2019/05/26,Run,training,,8875,10.125,0:51'14",5'3",,173,114,520,146,,,,,,4.1,88,89
"workout 166",2019/05/27,Run,training,,4988,5.513,0:29'14",5'18",,170,108,268,137,,,,,,3.0,49,47
"workout 167",2019/05/30,Run,training,,9245,10.105,0:54'17",5'22",,170,109,580,152,,,,,,4.3,86,93
"workout 168",2019/06/01,Run,training,,5085,5.522,0:29'46",5'23",,170,108,297,145,,,,,,3.4,80,77
"workout 169",2019/06/02,Run,training,,14718,15.584,1:26'42",5'33",,169,105,842,142,,,,,,3.7,161,144
"workout 170",2019/06/04,Run,training,,4850,5.518,0:28'21",5'8",,170,111,289,145,,,,,,3.3,66,62
"workout 171",2019/06/06,Run,training,,4636,5.58,0:26'43",4'47",,173,116,289,151,,,,,,3.5,66,68
"workout 172",2019/06/09,Run,training,,14191,15.568,1:22'51",5'19",,171,109,824,143,,,,,,3.8,156,151
"workout 173",2019/06/10,Run,training,,4977,5.486,0:28'51",5'15",,172,108,283,141,,,,,,3.2,81,74
"workout 174",2019/06/16,Run,training,,14510,15.557,1:24'49",5'27",,171,107,821,140,,,,,,3.6,162,179
"workout 175",2019/06/19,Run,training,,4618,5.524,0:26'48",4'51",,172,117,299,154,,,,,,3.6,57,57
"workout 176",2019/06/23,Run,training,,14088,15.528,1:23'7",5'21",,169,109,876,148,,,,,,4.7,134,133
"workout 177",2019/06/25,Run,training,,4614,5.545,0:26'50",4'50",,171,116,296,153,,,,,,3.5,74,102
"workout 178",2019/06/28,Run,training,,4741,5.457,0:27'56",5'7",,169,114,305,152,,,,,,3.6,81,77
"workout 179",2019/06/29,Run,training,,4831,5.441,0:28'15",5'11",,170,113,325,157,,,,,,3.8,103,111
"workout 180",2019/06/30,Run,training,,5068,5.468,0:29'47",5'26",,170,106,283,141,,,,,,3.2,50,57
